Região_de_Saude,Casos,População_Total,População_Normalizada,casos_normalizados_cem_mil,casos_normalizados,PRECIPITAÇÃO_NORMALIZADA,TEMP_MAX_NORMALIZADA,TEMP_MIN_NORMALIZADA,UMIDADE_MAX_NORMALIZADA,UMIDADE_MIN_NORMALIZADA,Ano
Arraial do Cabo,5.0,3098600,0.0663137239277247,0.1613631962821919,0.0,0.3052402064384212,0.7098038506028185,0.8340660710249272,0.929783436848796,0.9329935212766136,2020
. Cruzeiro,92.0,3151400,0.0676285435384584,2.9193374373294407,0.0075691665216634,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Lago Norte,299.0,3582100,0.0783537860828336,8.347058987744619,0.02557856272838,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Lago Sul,127.0,2937700,0.0623070103791063,4.323109915920618,0.0106142335131372,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Plano Piloto,607.0,20618300,0.5025873060143037,2.9439866526338254,0.0523751522533495,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Sudoeste Octogonal,91.0,5003300,0.1137443472717493,1.8187995922691025,0.0074821646076213,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Varjão,42.0,879300,0.0110489670697452,4.776526782668032,0.003219070819558,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Candangolândia,43.0,1601900,0.0290430703030061,2.6843123790498784,0.0033060727336001,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Estrutural,188.0,3068700,0.0655691575193736,6.126372731123928,0.0159213502697059,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Guará,481.0,10784700,0.2577121142697771,4.460022068300463,0.0414129110840438,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Núcleo Bandeirante,88.0,2313400,0.0467607625953742,3.803924958934901,0.007221158865495,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Park Way,37.0,2034500,0.0398156264318584,1.8186286556893587,0.0027840612493474,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Riacho Fundo I,112.0,3529100,0.0770339860947865,3.173613669207447,0.0093092048025056,0.404141175711151,0.282473072758494,0.2128300334802671,0.10660108699612,0.0820266490140635,2021
. Riacho Fundo II,109.0,3710800,0.081558658883997,2.937371995257088,0.0090481990603793,0.404141175711151,0.282473072758494,0.2128300334802671,0.10660108699612,0.0820266490140635,2021
. SIA,12.0,435600,0.0,2.7548209366391188,0.0006090133982947,0.6557745212444704,0.0110680460436941,0.0594257337027163,0.1956210186570984,0.1875666843975123,2021
. Jardim Botânico,172.0,3586500,0.0784633543837281,4.79576188484595,0.0145293196450321,0.5236203410449198,0.1548077741073356,0.1555693042410981,0.327382768765122,0.2967351242629128,2021
